================ Training Loss (Sun May  5 19:36:48 2024) ================
(epoch: 52, iters: 1776, time: 0.010, data: 0.002) D_A: 0.224 G_A: 0.203 cycle_A: 0.414 idt_A: 0.325 D_B: 0.254 G_B: 0.087 cycle_B: 0.897 idt_B: 0.167 
(epoch: 53, iters: 1152, time: 0.011, data: 0.002) D_A: 0.160 G_A: 0.660 cycle_A: 0.489 idt_A: 0.300 D_B: 0.225 G_B: 0.473 cycle_B: 0.715 idt_B: 0.167 
(epoch: 54, iters: 528, time: 0.011, data: 0.002) D_A: 0.202 G_A: 0.982 cycle_A: 0.483 idt_A: 0.410 D_B: 0.221 G_B: 0.505 cycle_B: 1.038 idt_B: 0.188 
(epoch: 54, iters: 1728, time: 0.010, data: 0.001) D_A: 0.222 G_A: 0.327 cycle_A: 0.402 idt_A: 0.332 D_B: 0.200 G_B: 0.332 cycle_B: 0.833 idt_B: 0.180 
(epoch: 55, iters: 1104, time: 0.011, data: 0.002) D_A: 0.238 G_A: 0.379 cycle_A: 0.437 idt_A: 0.329 D_B: 0.205 G_B: 0.308 cycle_B: 0.798 idt_B: 0.174 
(epoch: 56, iters: 480, time: 0.011, data: 0.002) D_A: 0.158 G_A: 0.723 cycle_A: 0.398 idt_A: 0.315 D_B: 0.356 G_B: 0.987 cycle_B: 0.794 idt_B: 0.170 
(epoch: 56, iters: 1680, time: 0.011, data: 0.000) D_A: 0.175 G_A: 0.220 cycle_A: 0.383 idt_A: 0.357 D_B: 0.228 G_B: 0.455 cycle_B: 0.827 idt_B: 0.157 
(epoch: 57, iters: 1056, time: 0.013, data: 0.002) D_A: 0.186 G_A: 0.315 cycle_A: 0.368 idt_A: 0.312 D_B: 0.213 G_B: 0.271 cycle_B: 0.780 idt_B: 0.149 
(epoch: 58, iters: 432, time: 0.011, data: 0.002) D_A: 0.147 G_A: 0.492 cycle_A: 0.433 idt_A: 0.319 D_B: 0.294 G_B: 0.086 cycle_B: 0.774 idt_B: 0.155 
(epoch: 58, iters: 1632, time: 0.010, data: 0.003) D_A: 0.162 G_A: 0.335 cycle_A: 0.403 idt_A: 0.299 D_B: 0.202 G_B: 0.303 cycle_B: 0.711 idt_B: 0.154 
