================ Training Loss (Tue Mar 19 00:51:39 2024) ================
(epoch: 41, iters: 960, time: 0.007, data: 0.001) D_A: 0.120 G_A: 0.665 cycle_A: 1.813 idt_A: 0.439 D_B: 0.224 G_B: 0.450 cycle_B: 1.008 idt_B: 0.774 
(epoch: 42, iters: 704, time: 0.006, data: 0.002) D_A: 0.137 G_A: 0.488 cycle_A: 1.795 idt_A: 0.487 D_B: 0.228 G_B: 0.311 cycle_B: 1.127 idt_B: 0.771 
(epoch: 43, iters: 448, time: 0.006, data: 0.001) D_A: 0.210 G_A: 1.149 cycle_A: 1.897 idt_A: 0.489 D_B: 0.271 G_B: 0.320 cycle_B: 1.120 idt_B: 0.798 
(epoch: 44, iters: 192, time: 0.007, data: 0.002) D_A: 0.144 G_A: 0.392 cycle_A: 1.920 idt_A: 0.468 D_B: 0.216 G_B: 0.304 cycle_B: 1.138 idt_B: 0.874 
(epoch: 44, iters: 1792, time: 0.005, data: 0.000) D_A: 0.115 G_A: 0.534 cycle_A: 1.795 idt_A: 0.437 D_B: 0.205 G_B: 0.333 cycle_B: 1.033 idt_B: 0.784 
(epoch: 45, iters: 1536, time: 0.006, data: 0.001) D_A: 0.217 G_A: 0.175 cycle_A: 1.771 idt_A: 0.434 D_B: 0.217 G_B: 0.475 cycle_B: 1.043 idt_B: 0.778 
(epoch: 46, iters: 1280, time: 0.006, data: 0.001) D_A: 0.149 G_A: 0.608 cycle_A: 1.807 idt_A: 0.464 D_B: 0.208 G_B: 0.292 cycle_B: 1.072 idt_B: 0.765 
(epoch: 47, iters: 1024, time: 0.006, data: 0.001) D_A: 0.127 G_A: 0.639 cycle_A: 1.852 idt_A: 0.460 D_B: 0.189 G_B: 0.494 cycle_B: 1.065 idt_B: 0.798 
(epoch: 48, iters: 768, time: 0.008, data: 0.002) D_A: 0.178 G_A: 0.427 cycle_A: 1.994 idt_A: 0.453 D_B: 0.257 G_B: 0.201 cycle_B: 1.058 idt_B: 0.753 
(epoch: 49, iters: 512, time: 0.006, data: 0.001) D_A: 0.171 G_A: 0.558 cycle_A: 1.849 idt_A: 0.491 D_B: 0.149 G_B: 0.363 cycle_B: 1.165 idt_B: 0.784 
(epoch: 50, iters: 256, time: 0.006, data: 0.002) D_A: 0.159 G_A: 0.369 cycle_A: 1.873 idt_A: 0.433 D_B: 0.227 G_B: 0.209 cycle_B: 1.080 idt_B: 0.803 
(epoch: 50, iters: 1856, time: 0.003, data: 0.003) D_A: 0.124 G_A: 0.636 cycle_A: 1.745 idt_A: 0.469 D_B: 0.195 G_B: 0.266 cycle_B: 1.136 idt_B: 0.701 
